student_id,age,program,semester,gpa,attendance,assignments_completion,stress_level,sleep_hours,mental_wellbeing,productivity_score,distractions,career_clarity,skill_readiness,engagement_score,APS,WWS,PTMS,CRS,SRI,Risk_Category
S0001,24,BCA,1,5.48,75,82,6,6,6,9,5,6,7,56,66.30000000000001,52.0,70.0,65.0,63.14,Yellow
S0002,21,MBA,1,6.23,95,55,8,6,1,1,4,8,2,72,70.65,29.0,35.0,50.0,47.945,Red
S0003,22,BCA,8,8.49,99,90,7,4,4,1,7,6,6,88,90.15,36.0,20.0,60.0,55.045,Yellow
S0004,24,B.Sc,8,7.85,64,88,5,8,7,4,5,3,5,61,76.05000000000001,65.0,45.0,40.0,58.065,Yellow
S0005,20,B.Tech,2,5.49,83,53,10,6,1,7,7,6,10,62,62.95,21.0,50.0,80.0,54.135000000000005,Yellow
S0006,22,B.Tech,4,9.41,91,62,6,6,8,1,1,1,1,57,86.75,58.0,50.0,10.0,53.025,Yellow
S0007,22,B.Sc,7,8.79,93,98,4,6,10,9,1,4,10,84,91.44999999999999,72.0,90.0,70.0,80.935,Green
S0008,24,B.Tech,8,5.11,98,51,9,8,6,4,10,6,4,89,65.15,46.0,20.0,50.0,47.545,Red
S0009,19,B.Sc,7,8.13,89,54,4,8,5,3,3,7,2,99,78.15,63.0,50.0,45.0,60.445,Yellow
S0010,20,B.Sc,2,8.7,60,93,1,4,10,1,2,10,4,91,80.1,78.0,45.0,70.0,70.03,Blue
S0011,24,B.Sc,2,6.8,52,76,7,7,9,10,2,3,1,63,64.8,60.0,90.0,20.0,57.44,Yellow
S0012,20,B.Tech,2,5.33,55,81,7,6,2,4,7,9,2,85,59.349999999999994,36.0,35.0,55.0,47.55499999999999,Red
S0013,20,BCA,6,5.37,58,70,4,7,5,9,10,7,8,42,58.25,60.0,45.0,75.0,60.224999999999994,Yellow
S0014,22,B.Sc,6,5.5,55,57,3,8,6,10,2,1,6,85,55.4,70.0,90.0,35.0,60.87,Yellow
S0015,21,MBA,3,9.03,58,87,8,8,7,6,4,2,2,47,79.95,53.0,60.0,20.0,54.235,Yellow
S0016,20,B.Tech,3,9.37,88,57,5,8,5,6,2,1,6,83,84.65,59.0,70.0,35.0,62.894999999999996,Yellow
S0017,23,B.Sc,2,5.59,80,99,10,7,9,1,6,9,10,72,71.75,48.0,25.0,95.0,62.275,Yellow
S0018,22,B.Sc,4,6.13,81,52,7,8,1,10,8,9,9,68,65.35000000000001,39.0,60.0,90.0,63.855000000000004,Yellow
S0019,19,MBA,1,5.79,90,93,4,4,7,2,10,7,7,90,74.55000000000001,57.0,10.0,70.0,56.115,Yellow
S0020,21,BCA,6,5.89,99,52,4,8,10,6,4,10,9,71,69.55,78.0,60.0,95.0,76.115,Blue
S0021,23,BCA,4,9.02,61,71,8,5,7,2,5,3,5,47,77.6,44.0,35.0,40.0,51.28,Yellow
S0022,23,BCA,5,6.59,57,55,8,7,4,3,4,5,7,52,61.05,41.0,45.0,60.0,52.565,Yellow
S0023,19,B.Sc,6,6.49,57,51,2,5,9,4,3,4,7,83,59.75,74.0,55.0,55.0,61.175,Yellow
S0024,21,B.Sc,6,6.09,99,72,2,8,5,5,5,7,3,59,74.55,71.0,50.0,50.0,62.614999999999995,Yellow
